,Date,Indice SON
0,1988,3.2032967032967035
1,1989,2.893406593406593
2,1990,3.7362637362637363
3,1991,2.978021978021977
4,1992,2.623076923076923
5,1993,2.0274725274725274
6,1994,3.414285714285714
7,1995,1.958139534883721
8,1996,2.5890109890109887
9,1997,2.6340659340659354
10,1998,3.8098901098901106
11,1999,3.8076923076923075
12,2000,3.0483516483516486
13,2001,4.318681318681318
14,2002,2.3956043956043955
15,2003,3.4395604395604407
16,2004,2.9538461538461545
17,2005,4.27032967032967
18,2006,4.030769230769231
19,2007,3.5076923076923077
20,2008,3.3098901098901097
21,2009,3.2175824175824177
22,2010,3.371428571428571
23,2011,5.054945054945056
24,2012,2.620879120879121
25,2013,2.18021978021978
26,2014,2.5945054945054946
27,2015,3.493406593406594
28,2016,3.738461538461539
29,2017,3.2582417582417587
30,2018,1.4359550561797751
