,Date,Indice Annuel
0,1988,15.5
1,1989,15.410000000000002
2,1990,16.0
3,1991,15.410000000000002
4,1992,13.6
5,1993,15.820000000000006
6,1994,15.0
7,1995,14.6
8,1996,14.669999999999998
9,1997,14.110000000000001
10,1998,14.4
11,1999,15.310000000000002
12,2000,14.4
13,2001,14.2
14,2002,15.420000000000005
15,2003,14.810000000000002
16,2004,13.3
17,2005,15.1
18,2006,14.920000000000005
19,2007,13.71
20,2008,14.7
21,2009,14.71
22,2010,16.34000000000001
23,2011,14.810000000000002
24,2012,15.1
25,2013,14.110000000000001
26,2014,13.610000000000001
27,2015,14.9
28,2016,14.3
29,2017,13.720000000000004
30,2018,15.330000000000002
