,Date,Indice JJA
0,1988,9.106593406593406
1,1989,8.72857142857143
2,1990,9.256043956043957
3,1991,9.69010989010989
4,1992,8.32967032967033
5,1993,9.421978021978022
6,1994,8.02967032967033
7,1995,7.776923076923078
8,1996,9.116091954022988
9,1997,7.127472527472526
10,1998,8.757142857142856
11,1999,8.682417582417582
12,2000,8.25054945054945
13,2001,8.543956043956044
14,2002,7.86043956043956
15,2003,7.472527472527473
16,2004,7.569230769230769
17,2005,8.94945054945055
18,2006,8.936263736263736
19,2007,7.794505494505495
20,2008,8.979120879120881
21,2009,8.894505494505495
22,2010,9.467032967032967
23,2011,8.562637362637362
24,2012,9.054945054945055
25,2013,7.3318681318681325
26,2014,7.021978021978023
27,2015,7.501098901098901
28,2016,7.113186813186813
29,2017,7.776923076923076
30,2018,7.04065934065934
